title,year,genre,country,url,poster-path
Six Hours to Live,1932,Drama,USA,https://rarefilmm.com/2022/05/six-hours-to-live-1932/,https://rarefilmm.com/wp-content/uploads/2022/05/sixhours.jpg
Mabeopsadul,2005,Drama,SOUTH,https://rarefilmm.com/2022/05/mabeopsadul-2005/,https://rarefilmm.com/wp-content/uploads/2022/05/magicians.jpg
What Do Those Old Films Mean?,1985,Documentary,UK,https://rarefilmm.com/2022/05/what-do-those-old-films-mean-1985/,https://rarefilmm.com/wp-content/uploads/2022/05/oldfilms.jpg
Habfürdö,1980,Animation,HUNGARY,https://rarefilmm.com/2022/05/habfurdo-1980/,https://rarefilmm.com/wp-content/uploads/2022/05/habfurdo.jpg
The Secret Life of John Chapman,1976,TV Movie,USA,https://rarefilmm.com/2022/05/the-secret-life-of-john-chapman-1976/,https://rarefilmm.com/wp-content/uploads/2022/05/johnchapman.jpg
La sfida dei MacKenna ,1970,Spaghetti Western,ITALY,https://rarefilmm.com/2022/05/la-sfida-dei-mackenna-1970-english-dub/,https://rarefilmm.com/wp-content/uploads/2022/05/lasfida.jpg
Vospominaniye o Pavlovske,1984,Documentary,USSR,https://rarefilmm.com/2022/05/vospominaniye-o-pavlovske-1984/,https://rarefilmm.com/wp-content/uploads/2022/05/Recollections-of-Pavlovsk.jpg
Les anges du péché,1943,Drama,FRANCE,https://rarefilmm.com/2022/05/les-anges-du-peche-1943/,https://rarefilmm.com/wp-content/uploads/2022/05/Les-anges-du-péchée.jpg
"Don’t Cry, It’s Only Thunder",1982,Drama,JAPAN,https://rarefilmm.com/2022/05/dont-cry-its-only-thunder-1982/,https://rarefilmm.com/wp-content/uploads/2022/05/dontcry.jpg
Gniazdo,1974,Biography,POLAND,https://rarefilmm.com/2022/05/gniazdo-1974/,https://rarefilmm.com/wp-content/uploads/2022/04/gniazado4.jpg
Kartka z podrózy,1984,Drama,POLAND,https://rarefilmm.com/2022/05/kartka-z-podrozy-1984/,https://rarefilmm.com/wp-content/uploads/2022/04/postcard.jpg
Now,1965,Documentary,CUBA,https://rarefilmm.com/2022/05/now-1965/,https://rarefilmm.com/wp-content/uploads/2022/05/now.jpg
The Parson of Panamint,1941,Drama,USA,https://rarefilmm.com/2022/05/the-parson-of-panamint-1941/,https://rarefilmm.com/wp-content/uploads/2022/05/panamint.jpg
Jane,1962,Documentary,USA,https://rarefilmm.com/2022/05/jane-1962/,https://rarefilmm.com/wp-content/uploads/2022/05/fonda62.jpg
Der Mann mit dem Objektiv,1961,Comedy,EAST,https://rarefilmm.com/2022/05/der-mann-mit-dem-objektiv-1961/,https://rarefilmm.com/wp-content/uploads/2022/05/Der-Mann-mit.jpg
Mach die Musik leiser,1994,Drama,GERMANY,https://rarefilmm.com/2022/05/mach-die-musik-leiser-1994/,https://rarefilmm.com/wp-content/uploads/2022/05/turndown.jpg
Der schöne Tag,2001,Drama,GERMANY,https://rarefilmm.com/2022/05/der-schone-tag-2001/,https://rarefilmm.com/wp-content/uploads/2022/05/a-fine-day.jpg
