title,year,genre,country
Hishu monogatari,1977,Drama,JAPAN
Duvidha,1973,Drama,INDIA
Wo zhe yang guo le yi sheng,1985,Drama,TAIWAN
Orlacs Hände,1924,Silent,AUSTRIA
Robert Altman’s Jazz ’34,1996,Documentary,USA
The Man Who Dared,1946,Film Noir,USA
Sweet Genevieve,1947,Comedy,USA
Przed rajdem,1971,Documentary,POLAND
"Eleanor, First Lady of the World",1982,Biography,USA
"First Love, Last Rites",1997,Drama,USA
Achilles Heel,1973,TV Movie,UK
Une femme a passé,1928,Silent,FRANCE
Vita frun,1962,Horror,SWEDEN
"Kuhle Wampe, oder: Wem gehört die Welt?",1932,Drama,GERMANY
La noche avanza,1952,Film Noir,MEXICO
The Ondekoza,1981,Documentary,JAPAN
Mababangong Bangungot,1977,Drama,PHILIPPINES
By the Sea,1963,Experimental,USA
Fast Break,1979,Comedy,USA
Black Noon,1971,Horror,USA
Lake Consequence,1993,Erotic,USA
Gohatto,1999,Drama,FRANCE
Az eröd,1979,Comedy,HUNGARY
Dorian Gray im Spiegel der Boulevardpresse,1984,Arthouse,WEST
Di Cavalcanti,1977,Documentary,BRAZIL
O Pagador de Promessas,1962,Arthouse,BRAZIL
San Michele aveva un gallo,1972,Drama,ITALY
Slade in Flame,1975,Cult,UK
Childhood’s End,1996,Comedy,USA
The Stand-In,1985,Comedy,USA
Confessions of a Sociopath,2002,Documentary,USA
The Marrying Kind,1952,Comedy,USA
Passed Away,1992,Comedy,USA
The Wild World of Hasil Adkins,1993,Documentary,USA
Seize the Time,1970,Documentary,USA
"Film in Which There Appear Edge Lettering, Sprocket Holes, Dirt Particles, Etc.",1966,Experimental,USA
Remedial Reading Comprehension,1970,Experimental,USA
Koniec wakacji,1975,Drama,POLAND
Koto,1963,Drama,JAPAN
Bluffing It,1987,TV Movie,CANADA
Hard Time: The David Milgaard Story,1999,TV Movie,CANADA
Bum,1979,Animation,CANADA
Scurta istorie,1956,Animation,ROMANIA
The Best of Walt Disney’s True-Life Adventures,1975,Documentary,USA
Bratya Karamazovy,1969,Drama,USSR
Red,1970,Drama,CANADA
The Thin Pink Line,1998,Comedy,USA
The Dwarfs,2002,TV Movie,UK
A Sign Days,1989,Drama,JAPAN
Milwr Bychan,1987,Drama,UK
Vesala za dvoje,1996,Short,YUGOSLAVIA
Directed by William Wyler,1986,Documentary,USA
Kandyland,1988,Drama,USA
Die glücklichen Minuten des Georg Hauser,1974,Mystery,AUSTRIA
Die ersten Tage,1971,Silent,AUSTRIA
Uwakizuma: Chijokuzeme (1992) ,1992,Erotic,JAPAN
Gyakufunsha kazoku,1984,Comedy,JAPAN
Mit dem Motorrad über die Wolken,1926,Documentary,AUSTRIA
Yanagawa horiwari monogatari,1987,Documentary,JAPAN
Cadillac Girls,1993,Drama,CANADA
Looking Back at You,1993,Documentary,UK
Decline and Fall… of a Bird Watcher,1968,Comedy,UK
Girl 6,1996,Comedy,USA
Bloopermania,1987,Comedy,USA
Zone,1995,Experimental,JAPAN
Spacy,1981,Experimental,JAPAN
Laulu tulipunaisesta kukasta,1938,Drama,FINLAND
The Miracle Man,1932,Pre Code,USA
The Slow Business of Going,2000,Experimental,GREECE
Two and Two Make Six,1962,Comedy,UK
Flaming Creatures,1963,Camp,USA
Bachelor Flat,1962,Comedy,USA
Born Reckless,1937,Action,USA
Por primera vez,1967,Documentary,CUBA
Six O’Clock News,1996,Documentary,USA
Black Starlet,1974,Blaxploitation,USA
Devil Doll,1964,Cult,UK
Delusion,1991,Neo-Noir,USA
Go Man Go,1954,Drama,USA
Taiyo no kisetsu,1956,Drama,JAPAN
Ji mo fang xin ju le bu,1995,Drama,TAIWAN
Jak działa jamniczek,1971,Animation,POLAND
The Silence of Adultery,1995,TV Movie,CANADA
Left Luggage,1998,Drama,BELGIUM
Just Another Girl on the I.R.T.,1992,Drama,USA
I Know the Way to the Hofbraeuhaus,1992,Experimental,GERMANY
La vallée fantôme,1987,Drama,FRANCE
The World’s Greatest Sinner,1962,Cult,USA
235 000 000,1967,Documentary,USSR
Yoru no henrin,1964,Drama,JAPAN
Soul Hustler,1973,Drama,USA
Tolérance,1989,Drama,FRANCE
Floundering,1994,Comedy,USA
The Clean Machine,1988,TV Movie,AUSTRALIA
How to Pick Up Girls!,1978,Comedy,USA
Negative Space,2000,Documentary,UK
Samernas land,1994,Documentary,SWEDEN
The Very Strange Story of… The Legendary Joe Meek,1991,Documentary,UK
Il piccolo Archimede,1979,Drama,ITALY
Working Girls,1931,Pre Code,USA
Vortex,1982,Drama,USA
Directed by Jacques Tourneur,1978,Documentary,FRANCE
Alegría,1999,Drama,CANADA
Tôkyô jôkû irasshaimase,1990,Drama,JAPAN
Number One,1973,Drama,ITALY
The Innocent,1985,Drama,UK
L’armata Brancaleone,1966,Adventure,FRANCE
Biale malzenstwo,1992,Arthouse,POLAND
Al-tariq illa Filastin,1985,Documentary,WEST
Violin Fase,1986,Experimental,BELGIUM
In The Name of the People,1985,Documentary,USA
Canal Zone,1942,Action,USA
Ordnung,1980,Drama,WEST
Samac,1958,Animation,YUGOSLAVIA
"East Side, West Side",1927,Silent,USA
The Adding Machine,1969,Comedy,UK
A Crime,2006,Thriller,FRANCE
Once in Paris…,1978,Drama,USA
Togetherness,1970,Comedy,SLOVENIA
Heute nacht oder nie,1972,Camp,SWITZERLAND
Evening Primrose,1966,Musical,USA
A Tribute To Stephen Sondheim,1995,Television,USA
Ned Rorem Interviews Stephen Sondheim,2000,Television,USA
Gibel Otrara (1991) ,1991,Epic,KAZAKHSTAN
Dedalo,1976,Animation,ITALY
Strings,1991,Animation,CANADA
Jobman,1989,Drama,SOUTH
"Goto, l’île d’amour",1969,Arthouse,FRANCE
Computer Ghosts,1988,Comedy,AUSTRALIA
Ricky Nelson: Original Teen Idol,1999,Biography,CANADA
James Cagney: That Yankee Doodle Dandy,1981,Biography,USA
Shock! Shock! Shock!,1987,Comedy,USA
Afterlife,1978,Animation,CANADA
Irresistible Impulse,1996,Erotic,USA
Soul Man,1986,Comedy,USA
Duel at Apache Wells,1957,Western,USA
The Officer and the Lady,1941,Drama,USA
The Peacock Spring,1996,TV Movie,INDIA
The Efficiency Expert,1991,Comedy,AUSTRALIA
Let George Do It,1940,Comedy,UK
Tonight for Sure,1962,Comedy,USA
Setouchi shonen yakyu dan,1984,Drama,JAPAN
Fary l’anesse,1988,Short,SENEGAL
Hideko no shashô-san,1941,Drama,JAPAN
Wer im Glashaus liebt…,1971,Cult,WEST
Sons and Lovers,1960,Drama,UK
Angelo My Love,1983,Drama,USA
The Murder of Fred Hampton,1971,Documentary,USA
Runs Good,1971,Experimental,USA
Changes,1969,Drama,USA
Yeelen,1987,Fantasy,BURKINA
Heart of a Child,1958,Drama,UK
Illegal Traffic,1938,Drama,USA
Bröder Carl,1971,Drama,SWEDEN
Rece do góry (1,1967,Experimental,1980s
Zaseda,1969,War,YUGOSLAVIA
Point de chute,1970,Thriller,FRANCE
Blade,1973,Thriller,USA
The Vanishing Man,1997,Television,UK
Word of Honor,1981,TV Movie,USA
Chain Gang,1984,Action,USA
Bulletproof Heart,1994,Neo-Noir,CANADA
Murder Rap,1988,Mystery,USA
Ikinai,1998,Drama,JAPAN
The Secret Call,1931,Drama,USA
Teenage Tupelo,1995,Exploitation,USA
Pajeczarki,1993,Comedy,POLAND
