title,year,genre,country
"Ah, Wilderness!",1976,Television,USA
Dead Trouble,1990,Action,USA
Spring Tonic,1935,Comedy,USA
Jealousy,1934,Drama,USA
Sukkubus – den Teufel im Leib,1989,Exploitation,WEST
La paloma,1974,Drama,FRANCE
The Omegans,1968,Sci-Fi,USA
O Menino e o Vento,1967,Drama,BRAZIL
The Big Timer,1932,Pre Code,USA
Abstract Cinema,1993,Documentary,USA
Banditi a Orgosolo,1961,Drama,ITALY
The Lost Missile,1958,Sci-Fi,USA
Seishun no mon,1981,Drama,JAPAN
Mata au hi made,1950,Drama,JAPAN
The First 100 Years: A Celebration of American Movies,1995,Documentary,USA
Spontaneous Combustion (1990) [Rou,1990,Horror,USA
Nahapet,1977,Drama,ARMENIA
Sambizanga,1972,Drama,ANGOLA
Shellshock Rock,1979,Documentary,IRELAND
The Brotherhood,1968,Drama,USA
The Big Sky,1952,Western,USA
Dr. Jekyll and Mr. Hyde,1973,Horror,UK
Killer Looks,1994,Erotic,USA
Cure,1997,Horror,JAPAN
Life with Henry,1941,Comedy,USA
Vidas Secas,1963,Drama,BRAZIL
Estranho Encontro,1958,Film Noir,BRAZIL
The Star Wagon,1966,Theatre,USA
Meshi,1951,Drama,JAPAN
Komisario Palmun erehdys,1960,Mystery,FINLAND
Placido Rizzotto,2000,Biography,ITALY
Judgement Day: The Ellie Nesler Story,1999,TV Movie,USA
The Wild and the Brave,1974,Documentary,USA
Munekata kyôdai,1950,Drama,JAPAN
Thundering Jets,1958,Drama,USA
Glory Days,1988,TV Movie,USA
Jia fang yi fang,1997,Comedy,CHINA
Os Verdes Anos,1963,Drama,PORTUGAL
Die andere Seite,1931,War,GERMANY
Freedom,1981,TV Movie,USA
"Darling, How Could You!",1951,Comedy,USA
Billion Dollar Threat,1979,TV Movie,USA
Twister,1989,Comedy,USA
La edad del silencio,1978,Animation,SPAIN
0cm4,2001,Experimental,JAPAN
The Penthouse,1967,Thriller,UK
Life on the Mississippi,1980,TV Movie,USA
See What I Say,1981,Documentary,USA
Doubletalk,1975,Short,USA
The Boy Who Had Everything,1985,Drama,AUSTRALIA
Skokie,1981,TV Movie,USA
The Dark End of the Street,1981,Drama,USA
De Onfatsoenlijke Vrouw,1991,Erotic,NETHERLANDS
Approaching Omega,1983,Comedy,USA
Dayton’s Devils,1968,Drama,USA
Newly Rich,1931,Pre Code,USA
Young and Wild,1958,Film Noir,USA
Blue Blood,1951,Drama,USA
Il sorriso del grande tentatore (1974) [Engli,1974,Drama,ITALY
Distinto Amanecer,1943,Film Noir,MEXICO
Hidden Guns,1956,Western,USA
Customs Agent,1950,Thriller,USA
Obsessed,1988,TV Movie,CANADA
Doorways,1993,Sci-Fi,USA
Saraba natsu no hikari,1968,Drama,JAPAN
Goreshto pladne,1965,Drama,BULGARIA
Fräulein,1985,Drama,AUSTRIA
Party Time,1992,Drama,UK
Maya Darpan,1972,Drama,INDIA
Paris in Spring,1935,Comedy,USA
The Clown and the Kid,1961,Drama,USA
Marilyn and Me,1991,TV Movie,USA
Amerigo Tot,1969,Experimental,HUNGARY
Sketch Artist II: Hands That See,1995,TV Movie,USA
Monsieur Ripois,1954,Drama,FRANCE
Raggare!,1959,Drama,SWEDEN
Money Play$,1998,TV Movie,USA
To Each His Own,1946,Drama,USA
Die große Liebe,1931,Drama,AUSTRIA
Senza parole,1996,Short,ITALY
Swan Song,1992,Short,UK
Fat gwong sek tau,2000,Drama,HONG
Sziget a szárazföldön,1969,Drama,HUNGARY
Untamed Mistress,1956,Drama,USA
Take It to the Limit,1979,Documentary,USA
Les magiciens (1976) [Engli,1976,Thriller,FRANCE
La medaglia,1997,Drama,ITALY
Le Père Noël est une ordure,1982,Comedy,FRANCE
The Christmas Coal Mine Miracle,1977,TV Movie,USA
Le martien de Noël (1971) [Engli,1971,Family,CANADA
Papa’s Angels,2000,TV Movie,USA
It Came Upon the Midnight Clear,1984,TV Movie,USA
A Norman Rockwell Christmas Story,1995,TV Movie,USA
The Stingiest Man in Town,1978,Animation,USA
A Christmas Reunion,1994,TV Movie,UK
Ce soir ou jamais,1961,Drama,FRANCE
Pane e cioccolata,1974,Comedy,ITALY
Giv’a 24 Eina Ona,1955,War,ISRAEL
Der Rest ist Schweigen,1959,Drama,WEST
Challenge the Wind,1991,Drama,USA
Babette s’en va-t-en guerre,1959,Comedy,FRANCE
The Big Broadcast of 1936,1935,Comedy,USA
Toughlove,1985,TV Movie,USA
Les ordres,1974,Drama,CANADA
Unfaithfully Yours,1984,Comedy,USA
Panna a netvor,1978,Fantasy,CZECH
"Hitler, connais pas",1963,Documentary,FRANCE
Moolaadé,2004,Drama,SENEGAL
Beltenebros,1991,Thriller,SPAIN
Dust,1985,Drama,BELGIUM
Port of Escape,1956,Thriller,UK
Date with Disaster,1957,Drama,UK
Blood Feud,1983,TV Movie,USA
Hooch,1977,Comedy,USA
The Last Don,1997,Mini-Series,USA
Off Key,2001,Comedy,ITALY
Du rififi à Paname (1966) [Eng. dub version,1966,Thriller,FRANCE
Up from the Beach,1965,War,USA
Año Mariano,2000,Comedy,SPAIN
The Punk,1993,Drama,UK
Only God Knows,1974,Comedy,CANADA
Una donna libera,1954,Drama,ITALY
Aniki Bóbó,1942,Drama,PORTUGAL
Ta kokkina fanaria,1963,Drama,GREECE
Le dossier noir,1955,Film Noir,FRANCE
The Mating Season,1951,Comedy,USA
De grands événements et des gens ordinaires,1979,Documentary,FRANCE
Louis Armstrong – Chicago Style,1976,Biography,USA
Law of the Lawless (1964) [U,1964,Western,USA
"Scusi, facciamo l’amore? (1968) [Engli",1968,Drama,ITALY
Mai qi Mankedun,1992,Action,HONG
The Jack of Diamonds,1949,Adventure,UK
Hypothese Beta,1967,Animation,FRANCE
The Wasp Woman,1995,Horror,
The Stranger Who Looks Like Me,1974,TV Movie,USA
La colmena,1982,Drama,SPAIN
Tendre poulet,1977,Comedy,FRANCE
Kavafis,1996,Biography,GREECE
Tom Sawyer,1973,TV Movie,USA
Queen of the Mob,1940,Drama,USA
Dude Ranch,1931,Western,USA
Rue princesse,1994,Drama,COTE
The Time of Your Life,1976,Television,USA
Gargoyles,1972,Horror,USA
The Channeler,1991,Horror,USA
Ha-Makah Hashmonim V’Echad,1974,Documentary,ISRAEL
Risate di gioia,1960,Comedy,ITALY
Stardust,1938,Musical,UK
Redhead,1941,Comedy,USA
Skoot hansawwar,2001,Drama,EGYPT
Gregors größte Erfindung,2001,Short,GERMANY
La nuit claire,1979,Experimental,FRANCE
The Ascent,1994,Adventure,CANADA
Girl Without a Room,1933,Pre Code,USA
Wir,1982,Sci-Fi,CZECH
Szach i mat!,1967,Short,POLAND
Bubbles Galore,1996,Comedy,CANADA
The Patricia Neal Story,1981,Biography,USA
Dakota Lil,1950,Western,USA
Did You Hear the One About the Traveling Saleslady?,1968,Comedy,USA
Mirrors,1978,Horror,USA
A Different Approach,1978,Short,USA
The Man Who Dared,1933,Biography,USA
Dom Sary,1987,Horror,POLAND
Czlowiek na torze,1957,Drama,POLAND
The Penitent,1988,Drama,
Aktion J (1961) [English v,1961,Documentary,EAST
Skin Deep,1978,Drama,NEW
The Mad Songs of Fernanda Hussein,2001,Drama,USA
Yin yeung lo 3: Sing goon fat choi,1998,Comedy,HONG
"Birds Do It, Bees Do It",1974,Documentary,USA
The Unseen,1945,Film Noir,USA
Thieves,1977,Comedy,
After the Ball,1957,Biography,UK
Fucking Åmål,1998,Drama,SWEDEN
Ravagers,1979,Sci-Fi,USA
The Man Who Drew Bug-Eyed Monsters,1994,Documentary,USA
Un ponte per l’inferno (1986) [Engli,1986,War,ITALY
A Step Toward Tomorrow (1996) [U,1996,TV Movie,USA
The Years Between,1946,Drama,UK
The Fourth Wish,1976,Family,AUSTRALIA
The Day Christ Died,1980,TV Movie,USA
Objectif: 500 millions,1966,Film Noir,FRANCE
La ragazza con la pistola,1968,Comedy,ITALY
Punainen viiva,1959,Drama,FINLAND
The Dream Merchants,1980,Mini-Series,USA
Perfect Gentlemen,1978,TV Movie,USA
Regarde la mer,1997,Short,FRANCE
Lugares comunes,2002,Drama,ARGENTINA
Downtime,1997,Thriller,UK
Across the Great Divide,1976,Family,USA
Ninja bugei-chô,1967,Animation,JAPAN
The Legend of Young Dick Turpin,1966,TV Movie,
All Women Have Secrets,1939,Comedy,USA
El hombre sin rostro,1950,Horror,MEXICO
Smyk,1960,Drama,CZECH
La salamandre,1971,Drama,SWITZERLAND
Lethal Charm,1991,TV Movie,USA
La riffa,1991,Drama,ITALY
Mae West,1982,Biography,USA
Life Times Nine,1973,Short,CANADA
A Stitch for Time,1987,Documentary,
Au rendez-vous de la mort joyeuse,1973,Horror,FRANCE
In Between,1991,Comedy,USA
Il caso Mattei,1972,Biography,ITALY
A ciascuno Il suo,1967,Thriller,ITALY
A Doll’s House,1959,Theatre,USA
Hong Kong 97,1994,Action,
Kimi mo shusse ga dekiru,1964,Comedy,JAPAN
Under Your Spell,1936,Comedy,USA
Pre istine,1968,Drama,YUGOSLAVIA
Looking for Mr. Goodbar,1977,Drama,USA
Been Down So Long It Looks Like Up to Me,1971,Cult,USA
Bury Me Not on the Lone Prairie,1941,Western,USA
Ritzar bez bronya,1966,Family,BULGARIA
Lo straniero,1967,Drama,ALGERIA
Satan’s Princess,1989,Horror,USA
Shuffle,1981,Short,JAPAN
Tripoli,1950,Adventure,USA
Schatten der Engel,1976,Drama,SWITZERLAND
Lao jing,1987,Drama,CHINA
The Darker Side of Terror,1979,Sci-Fi,USA
La fracture du Myocarde,1990,Drama,FRANCE
A Walk in the Woods,1988,Television,USA
Cover Me Babe,1970,Drama,USA
Homo Heights,1998,Comedy,
Freak Orlando,1981,Experimental,WEST
Due East,2002,TV Movie,CANADA
Rear Window,1998,Thriller,USA
Un drôle de paroissien,1963,Comedy,FRANCE
Litan,1982,Horror,FRANCE
La cena delle beffe,1942,Drama,ITALY
Los marcados,1971,Western,MEXICO
Oi angeloi tis amartias,1966,Drama,GREECE
Deceptions,1990,Erotic,USA
Ring of Passion,1978,TV Movie,USA
Nairobi Affair,1984,TV Movie,USA
Club de femmes,1936,Comedy,FRANCE
Kuroi Gashu: Aru Sarariman no Shogen,1960,Drama,JAPAN
Zhong lie tu,1975,Action,HONG
Avaliha,1984,Documentary,IRAN
T.R. Baskin,1971,Drama,USA
Chinese Boxes,1984,Mystery,UK
The Girls of Pleasure Island,1953,Comedy,USA
Hei pao shi jian,1985,Comedy,CHINA
"Hol volt, hol nem volt",1987,Fantasy,HUNGARY
Az prijde kocour,1963,Family,CZECHOSLOVAKIA
Hadakakko,1961,Drama,JAPAN
New Rose Hotel,1998,Erotic,USA
Luci lontane (1987) [Engli,1987,Sci-Fi,ITALY
Blueprint for Robbery,1961,Drama,USA
Down Among the Sheltering Palms,1953,Comedy,USA
Self Made Lady,1932,Drama,UK
Dusan Makavejev’s Early Shorts (195,1964,Experimental,1960s
Matatabi,1973,Drama,JAPAN
Ubit drakona,1988,Fantasy,USSR
"Rock, Pretty Baby!",1956,Comedy,USA
"Seven Women, Seven Sins",1986,Drama,AUSTRIA
Fallada – letztes Kapitel,1988,Biography,EAST
Return to Earth,1976,Biography,USA
Dreamers,1999,Comedy,
The Hard Case,1995,Short,UK
Quelli che contano (1974) [Engli,1974,Exploitation,ITALY
Nightmare in the Sun,1965,Drama,USA
Bombay Boys,1998,Comedy,INDIA
Giordano Bruno,1973,Biography,ITALY
Kičma,1975,Drama,YUGOSLAVIA
The Outcasts Of Poker Flat (1952) [U,1952,Western,USA
The Story of Dr. Wassell,1944,Action,USA
Danger Route,1967,Thriller,UK
Mozart è un assassino,1999,Mystery,ITALY
Et mourir de plaisir,1960,Horror,FRANCE
The Story of Pretty Boy Floyd,1974,TV Movie,USA
Salome’s Last Dance,1988,Cult,UK
Arakajime ushinawareta koibitotchiyo,1971,Drama,JAPAN
Norwood,1970,Comedy,USA
The Lion of Africa,1988,Action,USA
De røde enge,1945,Drama,DENMARK
Pass the Ammo,1988,Comedy,USA
Three Lives,1971,Documentary,USA
The Elevator,1974,Thriller,USA
Shock Treatment,1964,Mystery,USA
The Lie,1954,Film Noir,USA
Aparelho Voador a Baixa Altitude,2002,Sci-Fi,PORTUGAL
Gyoei no mure,1983,Drama,JAPAN
Kyokutô kuroshakai,1993,Action,JAPAN
To Prosopo tis Medousas,1967,Drama,GREECE
Frontier Gun,1958,Western,USA
Outback Bound,1988,TV Movie,USA
Hadaka no Jukyu-sai,1970,Drama,JAPAN
Makchalo on sannimdeul,1967,Drama,SOUTH
Arabeskebi Pirosmanis temaze,1986,Documentary,USSR
Bu tuo wa de ren,1989,Comedy,HONG
Dreams Come True,1984,Adventure,USA
Fatal Secret,1990,Action,SWEDEN
Parking,1985,Fantasy,FRANCE
Dance Lexie Dance,1996,Short,UK
Title Shot,1979,Drama,CANADA
Pastel de Sangre,1971,Horror,SPAIN
The Woman for Joe,1955,Drama,UK
The Treasure,1990,Adventure,USA
Flickorna,1968,Drama,SWEDEN
Shonben raidâ,1983,Drama,JAPAN
Deadly Exposure,1993,Thriller,USA
"Hajrá, Mozdony!",1972,Animation,HUNGARY
Holtpont,1982,Animation,HUNGARY
Raymie,1960,Drama,EPIC
L’Air de Paris,1954,Drama,FRANCE
The Flame (1947) [U,1947,Film Noir,USA
"Yanki, No!",1960,Documentary,USA
Beiqíng chéngshì,1989,Drama,HONG
Banketten,1948,Drama,SWEDEN
Sierra Stranger,1957,Western,USA
A Fistful of Fingers,1995,Comedy,UK
Lancelot du Lac,1974,Fantasy,FRANCE
Moto perpetuo,1981,Animation,HUNGARY
Furies,1978,Animation,USA
Tenkôsei,1982,Comedy,JAPAN
Unmasked,1950,Film Noir,USA
The Stranger’s Hand,1954,Thriller,ITALY
Blonde on a Bum Trip,1968,Exploitation,
Vulcano,1950,Drama,ITALY
Puccini,1984,Biography,UK
Jessica,1962,Comedy,FRANCE
Three in the Attic,1968,Drama,USA
Sanka,1972,Drama,JAPAN
Shilde,1988,Short,USSR
Mittsu no ai,1954,Drama,JAPAN
The House,1984,TV Movie,UK
Summer Solstice,1981,TV Movie,USA
Une femme douce,1969,Drama,FRANCE
The French Key,1946,Mystery,USA
Sam Shepard: Stalking Himself,1998,Documentary,USA
Una breve vacanza,1973,Drama,ITALY
Malpertuis (1971) [Director,1971,Fantasy,BELGIUM
De l’amour,1964,Comedy,FRANCE
How to Succeed with Sex,1970,Comedy,USA
The Kill,1975,Action,HONG
Run If You Can,1988,Thriller,USA
48 Stunden bis Acapulco,1967,Thriller,WEST
Shooting Stars,1983,TV Movie,USA
Nutcracker,1982,Drama,UK
Return of the Rebels,1981,TV Movie,USA
Demon Hunter,1965,Horror,USA
Seishun no satsujinsha,1976,Drama,JAPAN
Da mao xian jia,1995,Action,HONG
The League of Frightened Men,1937,Mystery,USA
Running from the Guns,1987,Action,AUSTRALIA
The Dance of Death,1969,Drama,UK
Dreamspeaker,1976,TV Movie,CANADA
No Place to Run,1972,TV Movie,USA
Sins of the Father,1985,TV Movie,USA
Neun Leben hat die Katze,1968,Drama,WEST
Gui xin niang,1987,Comedy,HONG
"Un soir, un train",1968,Drama,BELGIUM
Yuke yuke nidome no shojo,1969,Drama,JAPAN
A Reason to Live,1985,TV Movie,USA
September Affair,1950,Drama,USA
Flight,1929,Adventure,USA
Goshogaoka,1997,Documentary,JAPAN
Meng chai ren,1994,Action,HONG
Mortelle randonné,1983,Thriller,FRANCE
Just Add Water,1998,Short,USA
Murder So Sweet,1993,TV Movie,USA
The Guy Who Came Back,1951,Drama,USA
Mr. Quilp (1975) [Theatrical V,1975,Musical,UK
Seventeen,1940,Comedy,USA
"Do widzenia, do jutra…",1960,Drama,POLAND
Sois belle et tais-toi,1981,Documentary,FRANCE
Claire Dolan,1998,Drama,FRANCE
Judy Berlin,1999,Drama,USA
Dixie,1943,Biography,USA
Top Kids,1987,Fantasy,NORWAY
The Break,1962,Thriller,UK
Tizoc (Amor indio),1957,Drama,MEXICO
Gza shinisaken,1981,Drama,USSR
Nadja,1994,Drama,USA
The Stick Up,1977,Comedy,UK
For Keeps,1988,Comedy,USA
Sho o suteyo machi e deyou,1971,Experimental,JAPAN
Hi no ataru sakamichi,1958,Drama,JAPAN
Tænk på et tal,1969,Thriller,DENMARK
Ce jour-là,2003,Comedy,FRANCE
Hit Parade of 1941,1940,Musical,USA
Child in the Night,1990,TV Movie,ITALY
Journey Into Fear,1975,Thriller,CANADA
You Light Up My Life,1977,Drama,USA
Sait-on jamais…,1957,Drama,FRANCE
Miejsce urodzenia,1992,Documentary,POLAND
Muna Moto,1975,Drama,CAMEROON
The Barefoot Mailman,1951,Adventure,USA
Bandido!,1956,Western,USA
The Mark of Zorro,1974,TV Movie,USA
Valentino Returns,1989,Drama,USA
Prosopa lismonimena,1946,Film Noir,GREECE
El coraje del pueblo,1971,Documentary,BOLIVIA
Why Me?,1990,Action,USA
"Lock, Stock and Barrel",1971,TV Movie,USA
Promise at Dawn,1970,Drama,FRANCE
Calabuch,1956,Comedy,ITALY
Mordi e fuggi,1973,Comedy,ITALY
No Room to Run,1977,TV Movie,AUSTRALIA
Hard Knuckle,1987,Sci-Fi,AUSTRALIA
Teenage Father,1978,Short,USA
Discretion Assured,1994,Thriller,BRAZIL
Mourir à Madrid (1963) [U,1963,Documentary,FRANCE
"If He Hollers, Let Him Go!",1968,Blaxploitation,USA
On the Right Track,1981,Comedy,USA
Ash Wednesday,1973,Drama,USA
Honeyboy,1982,TV Movie,USA
Kiga kaikyô,1965,Mystery,JAPAN
"Georgia, Georgia",1972,Drama,SWEDEN
The Three Kings,1987,TV Movie,USA
The Caine Mutiny Court-Martial,1988,TV Movie,USA
Det stora äventyret,1953,Documentary,SWEDEN
Guang yin de gu shi,1982,Drama,TAIWAN
Shokutaku no nai ie,1985,Drama,JAPAN
The Wackiest Ship in the Army,1960,Comedy,USA
The Galloping Major,1951,Comedy,UK
Thérèse Desqueyroux,1962,Drama,FRANCE
The A.B.C of Love,1919,Silent,USA
Her First Romance,1951,Drama,USA
Ukrainskaya rapsodiya,1961,Drama,USSR
Godzilla (1977) [Luigi Cozzi’s v,1977,Sci-Fi,ITALY
The Persuader,1957,Western,USA
The High Country,1981,Adventure,CANADA
The Peacemaker,1956,Western,USA
Il Cammino della Speranza,1950,Drama,ITALY
Turks fruit,1973,Drama,NETHERLANDS
Soldaat van Oranje,1977,Drama,NETHERLANDS
The Call Of The Wild: Dog Of The Yukon,1997,Adventure,CANADA
Blind Side,1993,TV Movie,USA
Inside the Third Reich,1982,Biography,USA
O mikros drapetis,1968,Family,GREECE
A Story of David,1960,Drama,ISRAEL
Under the Gun,1988,Action,USA
El Mago,1949,Comedy,MEXICO
Second Chance,1947,Film Noir,USA
Pueblo,1973,TV Movie,USA
Um Trem para as Estrelas,1987,Drama,BRAZIL
Zbabelec,1962,Drama,CZECH
Catch Me If You Can,1989,Action,USA
Partners,1993,Short,USA
Birch Street Gym,1991,Short,USA
Shiroi Kyoto,1966,Drama,JAPAN
Moment to Moment (1975) [Longer VHS V,1975,Experimental,USA
Angi Vera,1979,Drama,HUNGARY
Izrazito Ja,1969,Short,YUGOSLAVIA
Reach the Rock,1998,Drama,USA
The Return of October,1948,Comedy,USA
Way Bad Stone,1991,Adventure,USA
Peccato che sia una canaglia,1954,Comedy,ITALY
Lock Up Your Daughters!,1969,Comedy,UK
Anna Karamazoff,1991,Fantasy,USSR
In Like Flynn,1985,TV Movie,CANADA
The Big Fisherman,1959,Drama,USA
Didn’t You Hear…,1970,Drama,USA
Big Timber,1950,Drama,USA
Le diable dans la ville,1925,Silent,FRANCE
Pasteur,1922,Biography,FRANCE
Un taxi mauve,1977,Drama,FRANCE
Bröllopsbesvär,1964,Drama,SWEDEN
Torero!,1956,Documentary,MEXICO
Engelen des doods,1998,Documentary,NETHERLANDS
The Ultimate Impostor,1979,TV Movie,USA
No Picnic (1986) [U,1986,Drama,USA
The Prize Fighter,1979,Comedy,USA
Los Inocentes,1963,Drama,ARGENTINA
El ninja mexicano,1991,Action,MEXICO
The Execution,1985,TV Movie,USA
The Long Rope,1961,Western,USA
Oxen,1991,Drama,SWEDEN
"Pane, amore e fantasia",1953,Comedy,ITALY
Jazz Boat,1960,Comedy,UK
Gunn,1967,Mystery,USA
A Blueprint for Murder (1953) [U,1953,Film Noir,USA
Der Raub der Mona Lisa,1931,Drama,GERMANY
Nuit d’or,1976,Drama,FRANCE
Lady in the Dark,1944,Musical,USA
Robo C.H.I.C.,1990,Action,USA
Laughter in the Dark,1969,Drama,FRANCE
Hell’s Hinges,1916,Silent,USA
Movie Crazy,1932,Pre Code,USA
Kvarteret Korpen,1963,Drama,SWEDEN
Hadley’s Rebellion,1983,Drama,USA
Frauen in New York,1977,Theatre,WEST
The Morning After,1974,TV Movie,USA
Salut Victor,1989,Drama,CANADA
Calamity Jane,1963,Theatre,USA
Shadow of a Doubt,1991,TV Movie,USA
Secret Weapon,1990,Biography,AUSTRALIA
The Thundering Trail,1951,Western,USA
Labyrinth des Grauens,1921,Silent,AUSTRIA
Lef,1999,Comedy,NETHERLANDS
Nightlife,1976,Short,USA
Survival Game,1987,Action,USA
Portrait of a Young Man Drowning,1999,Short,SOUTH
Zhenikh,1960,Short,USSR
Coming Out Party,1934,Drama,USA
Street Scenes,1970,Documentary,USA
Reise der Hoffnung,1990,Drama,SWITZERLAND
Il birichino di papà,1943,Comedy,ITALY
Boy Friend,1939,Comedy,USA
Bwana Devil,1952,Adventure,USA
The Sweet Creek County War,1979,Western,USA
Bonjour Balwyn,1971,Comedy,AUSTRALIA
Opfergang,1944,Drama,GERMANY
Soldaten og Jenny,1947,Drama,DENMARK
O teleftaios peirasmos,1964,Drama,GREECE
Disco Fever,1978,Drama,USA
Cross Country (1983) [Director,1983,Erotic,CANADA
Demolition,1979,TV Movie,AUSTRALIA
Tire dié,1958,Documentary,ARGENTINA
Raspad,1990,Drama,USSR
Si Paris nous etait conte,1956,Drama,FRANCE
Heat,1972,Cult,USA
Who Killed Mary Whats’ername?,1971,Mystery,USA
En kærlighedshistorie,2001,Drama,DENMARK
La Truite,1982,Drama,FRANCE
Caged Fury,1948,Drama,USA
Cipher Bureau,1938,Drama,USA
Napoléon,1955,Biography,FRANCE
Hoshizora no marionette,1978,Drama,JAPAN
Quatre nuits d’un rêveur,1971,Drama,FRANCE
Hail,1972,Comedy,USA
The Hearst and Davies Affair,1985,Biography,USA
Disbarred,1939,Mystery,USA
Pao Da Shuang Deng,1994,Drama,CHINA
1860,1933,Drama,ITALY
Pouvoir intime (1986) [Engli,1986,Thriller,CANADA
Backfire!,1995,Comedy,USA
Marihuana,1950,Thriller,ARGENTINA
Nankyoku monogatari,1983,Adventure,JAPAN
Our Hearts Were Young and Gay,1944,Comedy,USA
L’enfant de l’hiver,1989,Drama,FRANCE
Los últimos de Filipinas,1945,Drama,SPAIN
Amor de Perdição,1979,Mini-Series,PORTUGAL
Le doux amour des hommes,2002,Drama,FRANCE
Kiss or Kill,1997,Neo-Noir,AUSTRALIA
Grumpy,1930,Pre Code,USA
The Arkansas Traveler,1938,Comedy,USA
Opname,1979,Drama,NETHERLANDS
Ciro-Norte,1998,Experimental,CHILE
Flying Tigers (1942) [Col,1942,War,USA
Guelwaar,1992,Drama,FRANCE
Happy Go Lucky,1943,Musical,USA
Macho Callahan,1970,Western,MEXICO
L’hypothèse du tableau volé,1978,Experimental,FRANCE
Lili Marleen,1981,Drama,WEST
Edificio Master,2002,Documentary,BRAZIL
May We Borrow Your Husband?,1986,TV Movie,UK
Sin,1971,Drama,UK
Galyon,1980,Action,USA
She Had to Eat,1937,Comedy,USA
Fury at Gunsight Pass,1956,Western,USA
Karkalou,1984,Drama,GREECE
Sekishunchô,1959,Drama,JAPAN
Broadway Love,1918,Silent,USA
Rafles sur la ville,1958,Film Noir,FRANCE
The Scarecrow,1972,Theatre,USA
The Sea Wolf,1993,TV Movie,CANADA
Koritsia ston ilio,1968,Drama,GREECE
Brink!,1998,Family,USA
Letter To My Killer,1995,TV Movie,USA
Miss Fane’s Baby is Stolen,1934,Pre Code,USA
The Kingfisher Caper,1975,Drama,SOUTH
Hollywood Round-Up,1937,Western,USA
Roma ore 11,1952,Drama,ITALY
Der Fußgänger,1973,Drama,SWITZERLAND
Heroes of the Hills,1938,Western,USA
Die Fledermaus,1946,Comedy,GERMANY
Demolition Day,1995,Comedy,USA
Acto da Primavera,1963,Drama,PORTUGAL
El santuario no se rinde,1949,War,SPAIN
Return from the Sea,1954,Drama,USA
Tsuma,1953,Drama,JAPAN
Le jeu avec le feu,1975,Erotic,FRANCE
La chasse aux papillons,1992,Drama,FRANCE
A Man for all Seasons,1988,TV Movie,UK
Mater dolorosa,1917,Silent,FRANCE
Am Rande der Welt,1927,Silent,GERMANY
Madame Racketeer,1932,Pre Code,USA
Law of the Barbary Coast,1949,Drama,USA
Perfectly Normal,1990,Comedy,CANADA
Mask of Dust,1954,Drama,UK
Luther Metke a los 94,1980,Documentary,ARGENTINA
The Girl in the Picture,1985,Comedy,UK
Homicide for Three,1948,Mystery,USA
Taifû kurabu,1985,Drama,JAPAN
Ett drömspel,1963,Theatre,SWEDEN
Topper,1979,TV Movie,USA
Flame of Stamboul,1951,Drama,USA
Tres tristes tigres,1968,Drama,CHILE
Flush,1982,Comedy,USA
Das Totenschiff,1959,Adventure,WEST
Le navire night,1979,Drama,FRANCE
The Playboy of the Western World,1962,Comedy,IRELAND
One Brief Summer,1971,Drama,UK
Last Stagecoach West,1957,Western,USA
Reasons for Knocking at an Empty House,1983,Experimental,USA
Blood Voyage (1976) ,1976,Horror,USA
Prisoners of Inertia,1989,Comedy,USA
Lena and the Geese,1912,Silent,USA
Vendémiaire,1918,Silent,FRANCE
Tsuma yo bara no yô ni,1935,Drama,JAPAN
Les lieux d’une fugue,1978,Experimental,FRANCE
Marathon,1980,TV Movie,USA
A Girl in a Million,1946,Comedy,UK
Stavisky…,1974,Biography,FRANCE
Hanussen,1988,Biography,HUNGARY
Million Dollar Legs,1939,Comedy,USA
Bonanno: A Godfather’s Story,1999,Mini-Series,CANADA
El techo de cristal,1971,Thriller,SPAIN
"Ça peut pas être l’hiver, on n’a même pas eu d’été (1980) [Engli",1980,Drama,CANADA
With Love to the Person Next to Me,1987,Drama,AUSTRALIA
A Talent for Loving,1969,Comedy,UK
Anima nera,1962,Drama,ITALY
She Married a Cop,1939,Comedy,USA
The Perfect Woman,1949,Comedy,UK
The Narrowing Circle,1956,Thriller,UK
Half a House,1975,Comedy,EPIC
Before My Eyes,1988,Documentary,INDIA
Casual Relations,1974,Experimental,USA
Salomé,1976,Experimental,FRANCE
Kamouraska (1973) [Director,1973,Drama,CANADA
Les baisers de secours,1989,Drama,FRANCE
Le grand chemin,1987,Drama,FRANCE
Die letzte Brücke,1954,War,AUSTRIA
Incompreso (Vita col figlio),1967,Drama,ITALY
The Great Waltz,1972,Biography,USA
Hedda,1975,Drama,UK
Street Music,1981,Drama,USA
Belle Starr,1941,Western,USA
While Paris Sleeps,1932,Pre Code,USA
The Tougher They Come,1950,Drama,USA
The Squatter’s Daughter,1933,Drama,AUSTRALIA
Syskonbädd 1782,1966,Drama,SWEDEN
Sista paret ut,1956,Drama,SWEDEN
The True Story of Lynn Stuart,1958,Film Noir,USA
Älskarinnan,1962,Drama,SWEDEN
Pick-up,1933,Pre Code,USA
Back Pay,1922,Silent,USA
Sweetwater: A True Rock Story,1999,TV Movie,USA
Childish Things,1969,Drama,USA
Peftoun oi sfaires san to halazi ki o travmatismenos kallitehnis anastenazei,1977,Comedy,GREECE
Povestea dragostei,1976,Sci-Fi,ROMANIA
The Right Age to Marry,1935,Drama,UK
Le Voyage en Ballon (1960) [English v,1960,Adventure,FRANCE
Death Game,1977,Thriller,USA
